Ensmebl_ID	name	Statistic	Pvalue	Significance	qvalue	fdr.level	BEBSites	NumBEBSites			
ENSG00000010803	SCMH1	221.934162	0	*	0	0.05	27 Q 0.514	1			
ENSG00000014641	MDH1	74.441342	0	*	0	0.05					
ENSG00000100644	HIF1A	236.390322	0	*	0	0.05					
ENSG00000152556	PFKM	524.551482	0	*	0	0.05					
ENSG00000169598	DFFB	160.98658	0	*	0	0.05	2 - 0.687	1			
ENSG00000196689	TRPV1	285.282604	0	*	0	0.05					
ENSG00000082146	STRADB	44.174378	3.00E-11	*	2.46E-09	0.05	416 W 1.000**	1			
ENSG00000100811	YY1	31.681934	1.82E-08	*	1.31E-06	0.05					
ENSG00000090975	PITPNM2	29.472762	5.67E-08	*	3.62E-06	0.05					
ENSG00000177606	JUN	23.034076	1.59E-06	*	8.35E-05	0.05	206 Q 0.952*	1			
ENSG00000123388	HOXC11	23.01809	1.60E-06	*	8.35E-05	0.05	229 R 0.903	1			
ENSG00000135679	MDM2	21.663184	3.25E-06	*	0.000155458	0.05					
ENSG00000136160	EDNRB	14.923742	0.000111945	*	0.00462644	0.05					
ENSG00000178935	ZNF552	14.90872	0.00011284	*	0.00462644	0.05					
ENSG00000010610	CD4	12.620144	0.000381612	*	0.014603019	0.05					
ENSG00000256053	COA8	11.942944	0.000548547	*	0.019679124	0.05	3 P 0.824	1			
ENSG00000081237	PTPRC	11.14948	0.000840552	*	0.028380991	0.05					
ENSG00000039537	C6	10.523542	0.001178634	*	0.037585329	0.05					
ENSG00000185245	GP1BA	10.313528	0.001320586	*	0.038626125	0.05					
ENSG00000146232	NFKBIE	10.278548	0.001345858	*	0.038626125	0.05	8 S 0.647	1			
ENSG00000159128	IFNGR2	10.093912	0.0014876	*	0.040661067	0.05					
ENSG00000172845	SP3	9.235066	0.002374238	*	0.061946028	0.05					
ENSG00000198851	CD3E	7.950034	0.004808647	*	0.120007103	0.05					
ENSG00000183520	UTP11	7.726318	0.005442162	*	0.130158375	0.05					
ENSG00000137106	GRHPR	7.395104	0.006540164	*	0.150162165	0.05					
ENSG00000134460	IL2RA	7.319954	0.006819316	*	0.150525122	0.05					
ENSG00000168610	STAT3	7.252446	0.00708045	*	0.150525122	0.05					
ENSG00000003400	CASP10	7.118972	0.007627243	*	0.156358482	0.05	13 D 0.790	1			
ENSG00000136997	MYC	7.044622	0.00795036	*	0.157362298	0.05	334 Y 0.884,416 A 0.994**	2		
ENSG00000100889	PCK2	5.369522	0.020491592	*	0.387889517	0.05					
ENSG00000204577	LILRB3	5.331052	0.020948737	*	0.387889517	0.05					
ENSG00000175582	RAB6A	4.786606	0.02868189	*	0.514481402	0.05	199 Q 0.977*	1			
ENSG00000087088	BAX	4.122946	0.042305347	*	0.735856642	0.05					
ENSG00000092330	TINF2	4.059292	0.043928914	*	0.736316179	0.05					
ENSG00000101307	SIRPB1	4.022492	0.044897328	*	0.736316179	0.05					
ENSG00000064012	CASP8	3.304158	0.069104752	NS	1	0.05	39 L 0.536	1			
ENSG00000010278	CD9	3.253882	0.071254513	NS	1	0.05					
ENSG00000111537	IFNG	3.09114	0.07871964	NS	1	0.05					
ENSG00000182687	GALR2	3.010238	0.082740142	NS	1	0.05					
ENSG00000157131	C8A	2.999436	0.083293508	NS	1	0.05					
ENSG00000116016	EPAS1	2.974254	0.084599121	NS	1	0.05					
ENSG00000134539	KLRD1	2.860002	0.090807386	NS	1	0.05					
ENSG00000019169	MARCO	2.84587	0.091608994	NS	1	0.05					
ENSG00000113600	C9	2.800596	0.094229274	NS	1	0.05					
ENSG00000102098	SCML2	2.652656	0.103377043	NS	1	0.05	276 P 0.789	1			
ENSG00000171791	BCL2	2.540592	0.110953179	NS	1	0.05					
ENSG00000161944	ASGR2	2.298234	0.129521187	NS	1	0.05					
ENSG00000136108	CKAP2	2.093378	0.147938642	NS	1	0.05					
ENSG00000115594	IL1R1	2.09266	0.148008169	NS	1	0.05					
ENSG00000160654	CD3G	2.090066	0.148259665	NS	1	0.05					
ENSG00000138193	PLCE1	1.952446	0.162323515	NS	1	0.05					
